sep=,
A1
Deutera,Trith,Tetarth,Pempth,Paraskeyh
Ma8hmatika_A| Efklidis,Oikiakh_Oikonomia_A| Antwniadou,Arxaia_Ellhnikh_Glwssa_A| ArxaiosB,Neoellhnikh_Logotexnia_A| FilologosA,Fysikh_Agwgh_A| Petrounias,
Glwssikh_didaskalia_A| FilologosA,Ma8hmatika_A| Efklidis,Oikiakh_Oikonomia_A| Antwniadou,Biologia_A| Curie,Istoria_A| Karaiskakis,
Agglika_A| Atkinson,Istoria_A| Karaiskakis,Gallika_A| Bernadette,Ma8hmatika_A| Efklidis,8rhskeutika_A| Theologos,
Gewgrafia_A| Neftonas,Kallitexnika_A| Picasso,KENO,KENO,KENO,


A3
Deutera,Trith,Tetarth,Pempth,Paraskeyh
Neoellhnikh_Logotexnia_A| FilologosC,Glwssikh_didaskalia_A| FilologosA,Biologia_A| Curie,Gallika_A| Bernadette,Gallika_A| Bernadette,
Ma8hmatika_A| Efklidis,Oikiakh_Oikonomia_A| Antwniadou,Ma8hmatika_A| Efklidis,Ma8hmatika_A| Efklidis,8rhskeutika_A| Theologos,
Arxaia_Ellhnikh_Glwssa_A| ArxaiosA,Glwssikh_didaskalia_A| FilologosA,Istoria_A| Karaiskakis,Ma8hmatika_A| Efklidis,Fysikh_Agwgh_A| Petrounias,
Arxaia_Ellhnikh_Glwssa_A| ArxaiosA,Neoellhnikh_Logotexnia_A| FilologosC,Istoria_A| Karaiskakis,Arxaia_Ellhnika_Keimena_apo_Metafrash_A| ArxaiosC,Glwssikh_didaskalia_A| FilologosA,
Arxaia_Ellhnika_Keimena_apo_Metafrash_A| ArxaiosC,Fysikh_A| Einstein,8rhskeutika_A| Theologos,Agglika_A| Atkinson,Fysikh_Agwgh_A| Petrounias,
Texnologia_A| Kotsovolos,Oikiakh_Oikonomia_A| Antwniadou,Mousikh_A| Beethoven,Agglika_A| Atkinson,Plhroforikh_A| Turing,
Gewgrafia_A| Neftonas,Kallitexnika_A| Picasso,KENO,KENO,KENO,


B1
Deutera,Trith,Tetarth,Pempth,Paraskeyh
Texnologia_B| Kotsovolos,Gewgrafia_B| Neftonas,Neoellhnikh_Logotexnia_B| FilologosC,Agglika_B| Atkinson,Ma8hmatika_B| Thalis,
8rhskeutika_B| Theologos,Biologia_B| Darvinos,Fysikh_Agwgh_B| Petrounias,Agglika_B| Atkinson,Gallika_B| Bernadette,
Fysikh_Agwgh_B| Petrounias,Fysikh_B| Neftonas,Glwssikh_didaskalia_B| FilologosA,Fysikh_B| Neftonas,Arxaia_Ellhnikh_Glwssa_B| ArxaiosA,
Ma8hmatika_B| Thalis,8rhskeutika_B| Theologos,Istoria_B| Karaiskakis,Istoria_B| Karaiskakis,Neoellhnikh_Logotexnia_B| FilologosC,
Gewgrafia_B| Neftonas,Plhroforikh_B| Turing,Arxaia_Ellhnika_Keimena_apo_Metafrash_B| ArxaiosA,Glwssikh_didaskalia_B| FilologosA,Ma8hmatika_B| Thalis,
Arxaia_Ellhnikh_Glwssa_B| ArxaiosA,Gallika_B| Bernadette,Arxaia_Ellhnika_Keimena_apo_Metafrash_B| ArxaiosA,Mousikh_B| Beethoven,Xhmeia_B| Darvinos,
Ma8hmatika_B| Thalis,Kallitexnika_B| Picasso,KENO,KENO,KENO,


B2
Deutera,Trith,Tetarth,Pempth,Paraskeyh
Gewgrafia_B| Einstein,Fysikh_B| Einstein,Texnologia_B| Kotsovolos,Fysikh_B| Einstein,Fysikh_Agwgh_B| Petrounias,
Xhmeia_B| Darvinos,Glwssikh_didaskalia_B| FilologosB,Arxaia_Ellhnikh_Glwssa_B| ArxaiosB,Arxaia_Ellhnika_Keimena_apo_Metafrash_B| ArxaiosB,Ma8hmatika_B| Thalis,
Glwssikh_didaskalia_B| FilologosB,Ma8hmatika_B| Thalis,Gallika_B| Bernadette,Agglika_B| Atkinson,Gallika_B| Bernadette,
Neoellhnikh_Logotexnia_B| FilologosA,8rhskeutika_B| Theologos,Arxaia_Ellhnika_Keimena_apo_Metafrash_B| ArxaiosB,Plhroforikh_B| Turing,8rhskeutika_B| Theologos,
Fysikh_Agwgh_B| Petrounias,Mousikh_B| Beethoven,Istoria_B| Karaiskakis,Arxaia_Ellhnikh_Glwssa_B| ArxaiosB,Neoellhnikh_Logotexnia_B| FilologosA,
Gewgrafia_B| Einstein,Istoria_B| Karaiskakis,Agglika_B| Atkinson,Ma8hmatika_B| Thalis,Biologia_B| Curie,
Ma8hmatika_B| Thalis,Kallitexnika_B| Picasso,KENO,KENO,KENO,


B3
Deutera,Trith,Tetarth,Pempth,Paraskeyh
Arxaia_Ellhnikh_Glwssa_B| ArxaiosB,Istoria_B| Karaiskakis,Xhmeia_B| Curie,Biologia_B| Darvinos,Neoellhnikh_Logotexnia_B| FilologosC,
Neoellhnikh_Logotexnia_B| FilologosC,Ma8hmatika_B| Efklidis,Arxaia_Ellhnika_Keimena_apo_Metafrash_B| ArxaiosC,Glwssikh_didaskalia_B| FilologosC,Glwssikh_didaskalia_B| FilologosC,
Fysikh_B| Neftonas,8rhskeutika_B| Theologos,Arxaia_Ellhnika_Keimena_apo_Metafrash_B| ArxaiosC,Istoria_B| Karaiskakis,Agglika_B| Atkinson,
Agglika_B| Atkinson,8rhskeutika_B| Theologos,Ma8hmatika_B| Efklidis,Ma8hmatika_B| Efklidis,Gewgrafia_B| Einstein,
Gewgrafia_B| Einstein,Gallika_B| Bernadette,Fysikh_Agwgh_B| Petrounias,Arxaia_Ellhnikh_Glwssa_B| ArxaiosB,Gallika_B| Bernadette,
Fysikh_B| Neftonas,Texnologia_B| Kotsovolos,Fysikh_Agwgh_B| Petrounias,Plhroforikh_B| Turing,Mousikh_B| Beethoven,
Ma8hmatika_B| Efklidis,Kallitexnika_B| Picasso,KENO,KENO,KENO,


C1
Deutera,Trith,Tetarth,Pempth,Paraskeyh
8rhskeutika_C| Theologos,Glwssikh_didaskalia_C| FilologosA,Plhroforikh_C| Turing,Koinwnikh_kai_Politikh_Agwgh_C| Obama,Fysikh_C| Neftonas,
Fysikh_Agwgh_C| Petrounias,Arxaia_Ellhnika_Keimena_apo_Metafrash_C| ArxaiosC,Istoria_C| Karaiskakis,Fysikh_C| Neftonas,Agglika_C| Atkinson,
Xhmeia_C| Darvinos,Neoellhnikh_Logotexnia_C| FilologosA,Ma8hmatika_C| Thalis,Arxaia_Ellhnikh_Glwssa_C| ArxaiosA,Koinwnikh_kai_Politikh_Agwgh_C| Obama,
Agglika_C| Atkinson,Biologia_C| Curie,Ma8hmatika_C| Thalis,Arxaia_Ellhnika_Keimena_apo_Metafrash_C| ArxaiosC,Mousikh_C| Beethoven,
8rhskeutika_C| Theologos,Glwssikh_didaskalia_C| FilologosA,Texnologia_C| Kotsovolos,Ma8hmatika_C| Thalis,Arxaia_Ellhnikh_Glwssa_C| ArxaiosA,
Neoellhnikh_Logotexnia_C| FilologosA,Gallika_C| Bernadette,Ma8hmatika_C| Thalis,Fysikh_Agwgh_C| Petrounias,Gallika_C| Bernadette,
Istoria_C| Karaiskakis,Kallitexnika_C| Picasso,KENO,KENO,KENO,


C2
Deutera,Trith,Tetarth,Pempth,Paraskeyh
Fysikh_Agwgh_C| Petrounias,Ma8hmatika_C| Thalis,Texnologia_C| Kotsovolos,Glwssikh_didaskalia_C| FilologosC,Agglika_C| Atkinson,
Gallika_C| Bernadette,Gallika_C| Bernadette,Biologia_C| Curie,Fysikh_C| Einstein,Xhmeia_C| Darvinos,
Ma8hmatika_C| Thalis,Arxaia_Ellhnika_Keimena_apo_Metafrash_C| ArxaiosB,Istoria_C| Karaiskakis,Koinwnikh_kai_Politikh_Agwgh_C| Obama,8rhskeutika_C| Theologos,
Arxaia_Ellhnika_Keimena_apo_Metafrash_C| ArxaiosB,Koinwnikh_kai_Politikh_Agwgh_C| Obama,Istoria_C| Karaiskakis,Neoellhnikh_Logotexnia_C| FilologosA,Arxaia_Ellhnikh_Glwssa_C| ArxaiosC,
Ma8hmatika_C| Thalis,Neoellhnikh_Logotexnia_C| FilologosA,Fysikh_Agwgh_C| Petrounias,Mousikh_C| Beethoven,8rhskeutika_C| Theologos,
Glwssikh_didaskalia_C| FilologosC,Agglika_C| Atkinson,Fysikh_C| Einstein,Arxaia_Ellhnikh_Glwssa_C| ArxaiosC,Ma8hmatika_C| Thalis,
Plhroforikh_C| Turing,Kallitexnika_C| Picasso,KENO,KENO,KENO,


C3
Deutera,Trith,Tetarth,Pempth,Paraskeyh
Neoellhnikh_Logotexnia_C| FilologosC,Koinwnikh_kai_Politikh_Agwgh_C| Obama,Arxaia_Ellhnika_Keimena_apo_Metafrash_C| ArxaiosA,Glwssikh_didaskalia_C| FilologosC,Xhmeia_C| Darvinos,
Fysikh_Agwgh_C| Petrounias,Gallika_C| Bernadette,Mousikh_C| Beethoven,Gallika_C| Bernadette,Arxaia_Ellhnika_Keimena_apo_Metafrash_C| ArxaiosA,
Istoria_C| Karaiskakis,Arxaia_Ellhnikh_Glwssa_C| ArxaiosB,Koinwnikh_kai_Politikh_Agwgh_C| Obama,8rhskeutika_C| Theologos,Fysikh_Agwgh_C| Petrounias,
Agglika_C| Atkinson,Plhroforikh_C| Turing,Istoria_C| Karaiskakis,Neoellhnikh_Logotexnia_C| FilologosC,Fysikh_C| Einstein,
Ma8hmatika_C| Thalis,Glwssikh_didaskalia_C| FilologosC,Ma8hmatika_C| Thalis,Arxaia_Ellhnikh_Glwssa_C| ArxaiosB,Ma8hmatika_C| Thalis,
Agglika_C| Atkinson,8rhskeutika_C| Theologos,Fysikh_C| Einstein,Biologia_C| Darvinos,Texnologia_C| Kotsovolos,
Ma8hmatika_C| Thalis,Kallitexnika_C| Picasso,KENO,KENO,KENO,


